Timestamp,Frame#(Framerate 30),ObjectName,WorldPosX,WorldPosY,WorldPosZ,ScreenPosX,ScreenPosY,CamPosX,CamPosY,CamPosZ,CamRotX,CamRotY,CamRotZ
2025-03-19 14:08:26.363,264,DistractorMainTable,0.26,-1.633,-2.933339,1255.425,-3749.854,0.1858701,-0.1228194,-3.609662,356.2597,24.06493,359.233
2025-03-19 14:08:26.503,265,DistractorFrontWall,0.7238231,-0.1069933,-2.013594,1731.912,912.8009,0.1866402,-0.1232841,-3.612122,356.3489,24.85234,359.0014
2025-03-19 14:08:26.559,266,DistractorFrontWall,0.7456293,-0.1228175,-2.013594,1741.017,899.663,0.1866001,-0.1225196,-3.612065,356.0202,24.95522,358.9593
2025-03-19 14:08:26.611,267,DistractorFrontWall,0.8746021,-0.1143845,-2.013594,1800.009,908.4801,0.1860542,-0.1227822,-3.612656,356.2536,24.97809,359.0934
2025-03-19 14:08:26.638,268,DistractorFrontWall,0.9913468,-0.1159901,-2.013594,1851.112,911.6345,0.1852917,-0.1231725,-3.613296,356.4574,24.95928,359.0415
2025-03-19 14:08:26.670,269,DistractorFrontWall,0.9945838,-0.1309896,-2.013594,1854.469,902.5657,0.1844339,-0.1227114,-3.613654,356.3304,24.86327,358.9234
2025-03-19 14:08:26.701,270,DistractorFrontWall,0.974664,-0.1362791,-2.013594,1846.688,894.5604,0.1839184,-0.1222011,-3.613633,355.9869,24.84556,358.9267
2025-03-19 14:08:26.733,271,DistractorFrontWall,0.9730203,-0.1321947,-2.013594,1845.843,891.7358,0.18318,-0.1217999,-3.613685,355.6814,24.87205,359.0234
2025-03-19 14:08:26.765,272,DistractorFrontWall,0.9684267,-0.1243022,-2.013594,1844.14,894.6943,0.1824709,-0.1217356,-3.613744,355.6343,24.86205,359.1352
2025-03-19 14:08:26.794,273,DistractorFrontWall,0.95577,-0.1167573,-2.013594,1841.091,899.7886,0.1813259,-0.1221021,-3.613964,355.7293,24.71711,359.2696
2025-03-19 14:08:26.828,274,DistractorFrontWall,0.589757,-0.03977837,-2.013594,1672.626,938.6983,0.1796451,-0.121742,-3.61407,355.807,24.577,359.2225
2025-03-19 14:08:26.858,275,DistractorFrontWall,0.5538418,-0.03148963,-2.013594,1657.593,943.4794,0.1787785,-0.1220089,-3.61403,355.7798,24.37789,359.4176
2025-03-19 14:08:26.890,276,DistractorFrontWall,0.5528781,-0.03832109,-2.013594,1662.147,940.6299,0.1778525,-0.1220168,-3.61406,355.7721,24.07039,359.7086
2025-03-19 14:08:26.921,277,DistractorFrontWall,0.5558615,-0.03805703,-2.013594,1671.646,941.7235,0.1766658,-0.1222556,-3.614138,355.8143,23.5847,359.8131
2025-03-19 14:08:26.950,278,DistractorFrontWall,0.5623662,-0.04161078,-2.013594,1685.803,941.1457,0.1754398,-0.1223543,-3.614409,355.9051,22.90797,359.816
2025-03-19 14:08:26.983,279,DistractorFrontWall,0.5740962,-0.04241723,-2.013594,1708.767,940.4272,0.1731275,-0.1220031,-3.614669,355.9014,21.85079,359.8737
2025-03-19 14:08:27.015,280,DistractorFrontWall,0.5711918,-0.05347407,-2.013594,1728.052,928.6748,0.1708903,-0.1205651,-3.614633,355.4909,20.51682,0.3416965
2025-03-19 14:08:27.046,281,DistractorFrontWall,0.5805538,-0.0592345,-2.013594,1769.229,914.1093,0.1667908,-0.119813,-3.61485,354.7342,18.15971,0.7594747
2025-03-19 14:08:27.079,282,DistractorFrontWall,0.5858114,-0.05887523,-2.013594,1823.177,902.6308,0.1601439,-0.1188364,-3.615328,354.0361,14.93306,0.07856781
2025-03-19 14:08:27.120,283,DistractorFrontWall,0.4186025,-0.05515714,-2.013594,1778.313,893.4396,0.1566355,-0.1168118,-3.616147,353.3222,12.39625,359.763
2025-03-19 14:08:27.150,284,DistractorFrontWall,0.1771581,-0.05881244,-2.013594,1707.207,882.9458,0.1509491,-0.1166,-3.618074,352.708,8.800849,359.9218
2025-03-19 14:08:27.182,285,DistractorFrontWall,0.0944829,-0.05318159,-2.013594,1705.733,889.7153,0.1468088,-0.1177216,-3.619611,352.8858,6.079926,0.1981352
