Timestamp,Frame# (Framerate 30),Slider Name,Slider.x,Slider.y,Slider.z,Slider Value
2025-03-06 09:31:39.719,318,RotationSliderBackgroundXYZ,0.8699941,0.3569995,-0.35,,0.55
2025-03-06 09:31:39.759,319,RotationSliderBackgroundXYZ,0.8699861,0.3569995,-0.35,,0.55
2025-03-06 09:31:39.802,320,RotationSliderBackgroundXYZ,0.8699822,0.3570001,-0.35,,0.55
2025-03-06 09:31:39.836,321,RotationSliderBackgroundXYZ,0.8699822,0.3570001,-0.35,,0.55
2025-03-06 09:31:39.870,322,RotationSliderBackgroundXYZ,0.8699822,0.3570001,-0.35,,0.55
2025-03-06 09:31:39.902,323,RotationSliderBackgroundXYZ,0.8699822,0.3570001,-0.35,,0.55
2025-03-06 09:31:39.932,324,RotationSliderBackgroundXYZ,0.8699822,0.3570001,-0.35,,0.55
2025-03-06 09:31:39.973,325,RotationSliderBackgroundXYZ,0.8699822,0.3570001,-0.35,,0.55
2025-03-06 09:31:40.003,326,RotationSliderBackgroundXYZ,0.8699822,0.3570001,-0.35,,0.55
2025-03-06 09:31:40.030,327,RotationSliderBackgroundXYZ,0.8699703,0.3569995,-0.35,,0.55
2025-03-06 09:31:40.059,328,RotationSliderBackgroundXYZ,0.8699623,0.3569995,-0.35,,0.55
2025-03-06 09:31:40.089,329,RotationSliderBackgroundXYZ,0.8699703,0.3570006,-0.35,,0.55
2025-03-06 09:31:40.116,330,RotationSliderBackgroundXYZ,0.8699623,0.3570023,-0.35,,0.55
2025-03-06 09:31:40.158,331,RotationSliderBackgroundXYZ,0.8699543,0.3570023,-0.35,,0.55
2025-03-06 09:31:40.200,332,RotationSliderBackgroundXYZ,0.8699464,0.3570034,-0.35,,0.55
2025-03-06 09:31:40.228,333,RotationSliderBackgroundXYZ,0.8699424,0.3570034,-0.35,,0.55
2025-03-06 09:31:40.270,334,RotationSliderBackgroundXYZ,0.8699345,0.3570039,-0.35,,0.55
2025-03-06 09:31:40.300,335,RotationSliderBackgroundXYZ,0.8699265,0.357005,-0.35,,0.55
2025-03-06 09:31:40.341,336,RotationSliderBackgroundXYZ,0.8699305,0.3570061,-0.35,,0.55
2025-03-06 09:31:40.369,337,RotationSliderBackgroundXYZ,0.8699146,0.3570061,-0.35,,0.55
2025-03-06 09:31:40.397,338,RotationSliderBackgroundXYZ,0.8699067,0.3570061,-0.35,,0.55
2025-03-06 09:31:40.426,339,RotationSliderBackgroundXYZ,0.8699027,0.3570066,-0.35,,0.55
2025-03-06 09:31:40.453,340,RotationSliderBackgroundXYZ,0.8699067,0.3570088,-0.35,,0.55
2025-03-06 09:31:40.494,341,RotationSliderBackgroundXYZ,0.8699107,0.3570105,-0.35,,0.55
2025-03-06 09:31:40.535,342,RotationSliderBackgroundXYZ,0.8699027,0.357011,-0.35,,0.55
2025-03-06 09:31:40.575,343,RotationSliderBackgroundXYZ,0.8698987,0.357011,-0.35,,0.55
2025-03-06 09:31:40.618,344,RotationSliderBackgroundXYZ,0.8698907,0.3570115,-0.35,,0.55
2025-03-06 09:31:40.658,345,RotationSliderBackgroundXYZ,0.8698907,0.3570115,-0.35,,0.55
2025-03-06 09:31:40.697,346,RotationSliderBackgroundXYZ,0.8698907,0.3570115,-0.35,,0.55
2025-03-06 09:31:40.739,347,RotationSliderBackgroundXYZ,0.8698907,0.3570115,-0.35,,0.55
2025-03-06 09:31:40.783,348,RotationSliderBackgroundXYZ,0.8698987,0.3570132,-0.35,,0.55
2025-03-06 09:31:40.812,349,RotationSliderBackgroundXYZ,0.8699027,0.3570143,-0.35,,0.55
2025-03-06 09:31:40.839,350,RotationSliderBackgroundXYZ,0.8698947,0.3570148,-0.35,,0.55
2025-03-06 09:31:40.879,351,RotationSliderBackgroundXYZ,0.8698907,0.3570159,-0.35,,0.55
2025-03-06 09:31:40.918,352,RotationSliderBackgroundXYZ,0.8698828,0.3570164,-0.35,,0.55
2025-03-06 09:31:40.961,353,RotationSliderBackgroundXYZ,0.8698709,0.357017,-0.35,,0.55
2025-03-06 09:31:41.004,354,RotationSliderBackgroundXYZ,0.8698669,0.3570175,-0.35,,0.55
2025-03-06 09:31:41.046,355,RotationSliderBackgroundXYZ,0.869855,0.3570186,-0.35,,0.55
2025-03-06 09:31:41.075,356,RotationSliderBackgroundXYZ,0.8698431,0.3570197,-0.35,,0.55
2025-03-06 09:31:41.117,357,RotationSliderBackgroundXYZ,0.8698351,0.3570203,-0.35,,0.55
2025-03-06 09:31:41.158,358,RotationSliderBackgroundXYZ,0.8698272,0.3570214,-0.35,,0.55
2025-03-06 09:31:41.199,359,RotationSliderBackgroundXYZ,0.8698232,0.3570214,-0.35,,0.55
2025-03-06 09:31:41.241,360,RotationSliderBackgroundXYZ,0.8698232,0.3570214,-0.35,,0.55
2025-03-06 09:31:41.271,361,RotationSliderBackgroundXYZ,0.8698232,0.3570214,-0.35,,0.55
2025-03-06 09:31:41.312,362,RotationSliderBackgroundXYZ,0.8698232,0.3570214,-0.35,,0.55
2025-03-06 09:31:41.356,363,RotationSliderBackgroundXYZ,0.8698232,0.3570214,-0.35,,0.55
2025-03-06 09:31:41.395,364,RotationSliderBackgroundXYZ,0.8698232,0.3570214,-0.35,,0.55
2025-03-06 09:31:41.436,365,RotationSliderBackgroundXYZ,0.8698232,0.3570214,-0.35,,0.55
2025-03-06 09:31:41.478,366,RotationSliderBackgroundXYZ,0.8698232,0.3570214,-0.35,,0.55
2025-03-06 09:31:41.507,367,RotationSliderBackgroundXYZ,0.8698232,0.3570214,-0.35,,0.55
2025-03-06 09:31:41.548,368,RotationSliderBackgroundXYZ,0.8698232,0.3570214,-0.35,,0.55
2025-03-06 09:31:41.590,369,RotationSliderBackgroundXYZ,0.8698232,0.3570214,-0.35,,0.55
2025-03-06 09:31:41.630,370,RotationSliderBackgroundXYZ,0.8698232,0.3570214,-0.35,,0.55
2025-03-06 09:31:41.672,371,RotationSliderBackgroundXYZ,0.8698232,0.3570214,-0.35,,0.55
2025-03-06 09:31:41.716,372,RotationSliderBackgroundXYZ,0.8698232,0.3570214,-0.35,,0.55
2025-03-06 09:31:41.743,373,RotationSliderBackgroundXYZ,0.8698351,0.3570224,-0.35,,0.55
2025-03-06 09:31:41.770,374,RotationSliderBackgroundXYZ,0.8698391,0.3570241,-0.35,,0.55
2025-03-06 09:31:41.809,375,RotationSliderBackgroundXYZ,0.8698311,0.3570246,-0.35,,0.55
2025-03-06 09:31:41.850,376,RotationSliderBackgroundXYZ,0.8698232,0.3570252,-0.35,,0.55
2025-03-06 09:31:41.890,377,RotationSliderBackgroundXYZ,0.8698192,0.3570252,-0.35,,0.55
2025-03-06 09:31:41.933,378,RotationSliderBackgroundXYZ,0.8698113,0.3570268,-0.35,,0.55
2025-03-06 09:31:41.977,379,RotationSliderBackgroundXYZ,0.8698073,0.3570268,-0.35,,0.55
2025-03-06 09:31:42.019,380,RotationSliderBackgroundXYZ,0.8697994,0.3570274,-0.35,,0.55
2025-03-06 09:31:42.061,381,RotationSliderBackgroundXYZ,0.8697914,0.3570279,-0.35,,0.55
2025-03-06 09:31:42.102,382,RotationSliderBackgroundXYZ,0.8697954,0.3570295,-0.35,,0.55
2025-03-06 09:31:42.144,383,RotationSliderBackgroundXYZ,0.8697994,0.3570306,-0.35,,0.55
2025-03-06 09:31:42.173,384,RotationSliderBackgroundXYZ,0.8697994,0.3570306,-0.35,,0.55
2025-03-06 09:31:42.215,385,RotationSliderBackgroundXYZ,0.8697994,0.3570306,-0.35,,0.55
2025-03-06 09:31:42.255,386,RotationSliderBackgroundXYZ,0.8697994,0.3570306,-0.35,,0.55
2025-03-06 09:31:42.295,387,RotationSliderBackgroundXYZ,0.8697994,0.3570306,-0.35,,0.55
2025-03-06 09:31:42.339,388,RotationSliderBackgroundXYZ,0.8697994,0.3570306,-0.35,,0.55
2025-03-06 09:31:42.369,389,RotationSliderBackgroundXYZ,0.8697994,0.3570306,-0.35,,0.55
2025-03-06 09:31:42.410,390,RotationSliderBackgroundXYZ,0.8697914,0.3570301,-0.35,,0.55
2025-03-06 09:31:42.454,391,RotationSliderBackgroundXYZ,0.8697914,0.3570312,-0.35,,0.55
2025-03-06 09:31:42.494,392,RotationSliderBackgroundXYZ,0.8697875,0.3570322,-0.35,,0.55
2025-03-06 09:31:42.534,393,RotationSliderBackgroundXYZ,0.8697755,0.3570328,-0.35,,0.55
2025-03-06 09:31:42.576,394,RotationSliderBackgroundXYZ,0.8697755,0.3570328,-0.35,,0.55
2025-03-06 09:31:42.618,395,RotationSliderBackgroundXYZ,0.8697755,0.3570328,-0.35,,0.55
2025-03-06 09:31:42.659,396,RotationSliderBackgroundXYZ,0.8697755,0.3570328,-0.35,,0.55
2025-03-06 09:31:42.701,397,RotationSliderBackgroundXYZ,0.8697755,0.3570328,-0.35,,0.55
2025-03-06 09:31:42.743,398,RotationSliderBackgroundXYZ,0.8697755,0.3570328,-0.35,,0.55
2025-03-06 09:31:42.772,399,RotationSliderBackgroundXYZ,0.8697755,0.3570328,-0.35,,0.55
2025-03-06 09:31:42.801,400,RotationSliderBackgroundXYZ,0.8697755,0.3570328,-0.35,,0.55
2025-03-06 09:31:42.829,401,RotationSliderBackgroundXYZ,0.8697755,0.3570328,-0.35,,0.55
2025-03-06 09:31:42.869,402,RotationSliderBackgroundXYZ,0.8697755,0.3570328,-0.35,,0.55
2025-03-06 09:31:42.898,403,RotationSliderBackgroundXYZ,0.8697755,0.3570328,-0.35,,0.55
2025-03-06 09:31:42.939,404,RotationSliderBackgroundXYZ,0.8697755,0.3570328,-0.35,,0.55
2025-03-06 09:31:42.969,405,RotationSliderBackgroundXYZ,0.8697755,0.3570328,-0.35,,0.55
