Timestamp,Frame# (Framerate 30),Slider Name,Slider.x,Slider.y,Slider.z,Slider Value
2025-03-07 12:41:01.181,356,RotationSliderBackgroundXYZ,0.8699941,0.3569995,-0.35,,0.55
2025-03-07 12:41:01.208,357,RotationSliderBackgroundXYZ,0.8699861,0.3569995,-0.35,,0.55
2025-03-07 12:41:01.230,358,RotationSliderBackgroundXYZ,0.8699822,0.3570001,-0.35,,0.55
2025-03-07 12:41:01.253,359,RotationSliderBackgroundXYZ,0.8699822,0.3570001,-0.35,,0.55
2025-03-07 12:41:01.273,360,RotationSliderBackgroundXYZ,0.8699822,0.3570001,-0.35,,0.55
2025-03-07 12:41:01.307,361,RotationSliderBackgroundXYZ,0.8699822,0.3570001,-0.35,,0.55
2025-03-07 12:41:01.323,362,RotationSliderBackgroundXYZ,0.8699822,0.3570001,-0.35,,0.55
2025-03-07 12:41:01.351,363,RotationSliderBackgroundXYZ,0.8699822,0.3570001,-0.35,,0.55
2025-03-07 12:41:01.368,364,RotationSliderBackgroundXYZ,0.8699822,0.3570001,-0.35,,0.55
2025-03-07 12:41:01.383,365,RotationSliderBackgroundXYZ,0.8699822,0.3570001,-0.35,,0.55
2025-03-07 12:41:01.398,366,RotationSliderBackgroundXYZ,0.8699822,0.3570001,-0.35,,0.55
2025-03-07 12:41:01.413,367,RotationSliderBackgroundXYZ,0.8699703,0.3569995,-0.35,,0.55
2025-03-07 12:41:01.426,368,RotationSliderBackgroundXYZ,0.8699504,0.3569985,-0.35,,0.55
2025-03-07 12:41:01.443,369,RotationSliderBackgroundXYZ,0.8699583,0.3570001,-0.35,,0.55
2025-03-07 12:41:01.457,370,RotationSliderBackgroundXYZ,0.8699703,0.3570006,-0.35,,0.55
2025-03-07 12:41:01.471,371,RotationSliderBackgroundXYZ,0.8699623,0.3570023,-0.35,,0.55
2025-03-07 12:41:01.485,372,RotationSliderBackgroundXYZ,0.8699543,0.3570023,-0.35,,0.55
2025-03-07 12:41:01.500,373,RotationSliderBackgroundXYZ,0.8699464,0.3570034,-0.35,,0.55
2025-03-07 12:41:01.516,374,RotationSliderBackgroundXYZ,0.8699424,0.3570034,-0.35,,0.55
