Timestamp,Frame# (Framerate 30),Slider Name,Slider.x,Slider.y,Slider.z,Slider Value
2025-03-07 14:34:20.472,334,RotationSliderBackgroundXYZ,0.8699941,0.3569995,-0.35,,0.55
2025-03-07 14:34:20.507,335,RotationSliderBackgroundXYZ,0.8699861,0.3569995,-0.35,,0.55
2025-03-07 14:34:20.542,336,RotationSliderBackgroundXYZ,0.8699822,0.3570001,-0.35,,0.55
2025-03-07 14:34:20.576,337,RotationSliderBackgroundXYZ,0.8699822,0.3570001,-0.35,,0.55
2025-03-07 14:34:20.610,338,RotationSliderBackgroundXYZ,0.8699822,0.3570001,-0.35,,0.55
2025-03-07 14:34:20.641,339,RotationSliderBackgroundXYZ,0.8699822,0.3570001,-0.35,,0.55
2025-03-07 14:34:20.672,340,RotationSliderBackgroundXYZ,0.8699941,0.3570006,-0.35,,0.55
2025-03-07 14:34:20.698,341,RotationSliderBackgroundXYZ,0.869998,0.3570028,-0.35,,0.55
2025-03-07 14:34:20.728,342,RotationSliderBackgroundXYZ,0.8699941,0.3570028,-0.35,,0.55
2025-03-07 14:34:20.758,343,RotationSliderBackgroundXYZ,0.8699861,0.3570034,-0.35,,0.55
2025-03-07 14:34:20.786,344,RotationSliderBackgroundXYZ,0.8699822,0.3570039,-0.35,,0.55
2025-03-07 14:34:20.814,345,RotationSliderBackgroundXYZ,0.8699782,0.3570039,-0.35,,0.55
2025-03-07 14:34:20.842,346,RotationSliderBackgroundXYZ,0.8699703,0.357005,-0.35,,0.55
2025-03-07 14:34:20.871,347,RotationSliderBackgroundXYZ,0.8699663,0.3570055,-0.35,,0.55
2025-03-07 14:34:20.898,348,RotationSliderBackgroundXYZ,0.8699583,0.3570061,-0.35,,0.55
2025-03-07 14:34:20.941,349,RotationSliderBackgroundXYZ,0.8699543,0.3570061,-0.35,,0.55
2025-03-07 14:34:20.969,350,RotationSliderBackgroundXYZ,0.8699504,0.3570066,-0.35,,0.55
2025-03-07 14:34:20.995,351,RotationSliderBackgroundXYZ,0.8699424,0.3570077,-0.35,,0.55
2025-03-07 14:34:21.023,352,RotationSliderBackgroundXYZ,0.8699384,0.3570077,-0.35,,0.55
2025-03-07 14:34:21.064,353,RotationSliderBackgroundXYZ,0.8699464,0.3570088,-0.35,,0.55
2025-03-07 14:34:21.091,354,RotationSliderBackgroundXYZ,0.8699384,0.3570094,-0.35,,0.55
2025-03-07 14:34:21.119,355,RotationSliderBackgroundXYZ,0.8699464,0.357011,-0.35,,0.55
2025-03-07 14:34:21.147,356,RotationSliderBackgroundXYZ,0.8699384,0.3570115,-0.35,,0.55
2025-03-07 14:34:21.176,357,RotationSliderBackgroundXYZ,0.8699345,0.3570115,-0.35,,0.55
2025-03-07 14:34:21.206,358,RotationSliderBackgroundXYZ,0.8699345,0.3570115,-0.35,,0.55
2025-03-07 14:34:21.232,359,RotationSliderBackgroundXYZ,0.8699345,0.3570115,-0.35,,0.55
2025-03-07 14:34:21.272,360,RotationSliderBackgroundXYZ,0.8699345,0.3570115,-0.35,,0.55
2025-03-07 14:34:21.314,361,RotationSliderBackgroundXYZ,0.8699345,0.3570115,-0.35,,0.55
2025-03-07 14:34:21.343,362,RotationSliderBackgroundXYZ,0.8699345,0.3570115,-0.35,,0.55
2025-03-07 14:34:21.373,363,RotationSliderBackgroundXYZ,0.8699464,0.3570132,-0.35,,0.55
2025-03-07 14:34:21.400,364,RotationSliderBackgroundXYZ,0.8699543,0.3570143,-0.35,,0.55
2025-03-07 14:34:21.442,365,RotationSliderBackgroundXYZ,0.8699583,0.3570159,-0.35,,0.55
2025-03-07 14:34:21.483,366,RotationSliderBackgroundXYZ,0.8699623,0.357017,-0.35,,0.55
2025-03-07 14:34:21.512,367,RotationSliderBackgroundXYZ,0.8699543,0.3570175,-0.35,,0.55
2025-03-07 14:34:21.553,368,RotationSliderBackgroundXYZ,0.8699464,0.3570186,-0.35,,0.55
2025-03-07 14:34:21.595,369,RotationSliderBackgroundXYZ,0.8699384,0.3570192,-0.35,,0.55
2025-03-07 14:34:21.623,370,RotationSliderBackgroundXYZ,0.8699345,0.3570192,-0.35,,0.55
2025-03-07 14:34:21.651,371,RotationSliderBackgroundXYZ,0.8699345,0.3570192,-0.35,,0.55
2025-03-07 14:34:21.679,372,RotationSliderBackgroundXYZ,0.8699345,0.3570192,-0.35,,0.55
2025-03-07 14:34:21.707,373,RotationSliderBackgroundXYZ,0.8699345,0.3570192,-0.35,,0.55
2025-03-07 14:34:21.736,374,RotationSliderBackgroundXYZ,0.8699345,0.3570192,-0.35,,0.55
2025-03-07 14:34:21.763,375,RotationSliderBackgroundXYZ,0.8699345,0.3570192,-0.35,,0.55
2025-03-07 14:34:21.791,376,RotationSliderBackgroundXYZ,0.8699345,0.3570192,-0.35,,0.55
2025-03-07 14:34:21.832,377,RotationSliderBackgroundXYZ,0.8699345,0.3570192,-0.35,,0.55
2025-03-07 14:34:21.861,378,RotationSliderBackgroundXYZ,0.8699345,0.3570192,-0.35,,0.55
2025-03-07 14:34:21.903,379,RotationSliderBackgroundXYZ,0.8699345,0.3570192,-0.35,,0.55
2025-03-07 14:34:21.943,380,RotationSliderBackgroundXYZ,0.8699345,0.3570192,-0.35,,0.55
2025-03-07 14:34:21.973,381,RotationSliderBackgroundXYZ,0.8699345,0.3570192,-0.35,,0.55
2025-03-07 14:34:21.999,382,RotationSliderBackgroundXYZ,0.8699345,0.3570192,-0.35,,0.55
2025-03-07 14:34:22.041,383,RotationSliderBackgroundXYZ,0.8699345,0.3570192,-0.35,,0.55
2025-03-07 14:34:22.083,384,RotationSliderBackgroundXYZ,0.8699345,0.3570192,-0.35,,0.55
2025-03-07 14:34:22.111,385,RotationSliderBackgroundXYZ,0.8699345,0.3570192,-0.35,,0.55
2025-03-07 14:34:22.152,386,RotationSliderBackgroundXYZ,0.8699265,0.3570186,-0.35,,0.55
2025-03-07 14:34:22.182,387,RotationSliderBackgroundXYZ,0.8699265,0.3570197,-0.35,,0.55
2025-03-07 14:34:22.209,388,RotationSliderBackgroundXYZ,0.8699226,0.3570203,-0.35,,0.55
2025-03-07 14:34:22.238,389,RotationSliderBackgroundXYZ,0.8699107,0.3570214,-0.35,,0.55
2025-03-07 14:34:22.265,390,RotationSliderBackgroundXYZ,0.8699107,0.3570214,-0.35,,0.55
2025-03-07 14:34:22.307,391,RotationSliderBackgroundXYZ,0.8699107,0.3570214,-0.35,,0.55
2025-03-07 14:34:22.347,392,RotationSliderBackgroundXYZ,0.8699027,0.3570203,-0.35,,0.55
2025-03-07 14:34:22.375,393,RotationSliderBackgroundXYZ,0.8699067,0.3570219,-0.35,,0.55
2025-03-07 14:34:22.417,394,RotationSliderBackgroundXYZ,0.8698947,0.3570224,-0.35,,0.55
2025-03-07 14:34:22.457,395,RotationSliderBackgroundXYZ,0.8698868,0.357023,-0.35,,0.55
2025-03-07 14:34:22.486,396,RotationSliderBackgroundXYZ,0.8698868,0.357023,-0.35,,0.55
2025-03-07 14:34:22.514,397,RotationSliderBackgroundXYZ,0.8698868,0.357023,-0.35,,0.55
2025-03-07 14:34:22.542,398,RotationSliderBackgroundXYZ,0.8698868,0.357023,-0.35,,0.55
2025-03-07 14:34:22.572,399,RotationSliderBackgroundXYZ,0.8698868,0.357023,-0.35,,0.55
2025-03-07 14:34:22.598,400,RotationSliderBackgroundXYZ,0.8698868,0.357023,-0.35,,0.55
2025-03-07 14:34:22.640,401,RotationSliderBackgroundXYZ,0.8698868,0.357023,-0.35,,0.55
2025-03-07 14:34:22.680,402,RotationSliderBackgroundXYZ,0.8698987,0.3570246,-0.35,,0.55
2025-03-07 14:34:22.721,403,RotationSliderBackgroundXYZ,0.8698907,0.3570252,-0.35,,0.55
2025-03-07 14:34:22.750,404,RotationSliderBackgroundXYZ,0.8698709,0.3570246,-0.35,,0.55
2025-03-07 14:34:22.792,405,RotationSliderBackgroundXYZ,0.8698669,0.3570252,-0.35,,0.55
2025-03-07 14:34:22.821,406,RotationSliderBackgroundXYZ,0.869855,0.3570257,-0.35,,0.55
2025-03-07 14:34:22.851,407,RotationSliderBackgroundXYZ,0.8698431,0.3570274,-0.35,,0.55
2025-03-07 14:34:22.878,408,RotationSliderBackgroundXYZ,0.8698311,0.3570279,-0.35,,0.55
2025-03-07 14:34:22.906,409,RotationSliderBackgroundXYZ,0.8698192,0.3570295,-0.35,,0.55
2025-03-07 14:34:22.934,410,RotationSliderBackgroundXYZ,0.8698113,0.3570301,-0.35,,0.55
2025-03-07 14:34:22.974,411,RotationSliderBackgroundXYZ,0.8698034,0.3570306,-0.35,,0.55
2025-03-07 14:34:23.016,412,RotationSliderBackgroundXYZ,0.8697994,0.3570306,-0.35,,0.55
2025-03-07 14:34:23.045,413,RotationSliderBackgroundXYZ,0.8697994,0.3570306,-0.35,,0.55
2025-03-07 14:34:23.073,414,RotationSliderBackgroundXYZ,0.8697994,0.3570306,-0.35,,0.55
2025-03-07 14:34:23.101,415,RotationSliderBackgroundXYZ,0.8697994,0.3570306,-0.35,,0.55
2025-03-07 14:34:23.142,416,RotationSliderBackgroundXYZ,0.8697994,0.3570306,-0.35,,0.55
2025-03-07 14:34:23.170,417,RotationSliderBackgroundXYZ,0.8697994,0.3570306,-0.35,,0.55
2025-03-07 14:34:23.197,418,RotationSliderBackgroundXYZ,0.8697914,0.3570301,-0.35,,0.55
2025-03-07 14:34:23.239,419,RotationSliderBackgroundXYZ,0.8697715,0.3570295,-0.35,,0.55
2025-03-07 14:34:23.267,420,RotationSliderBackgroundXYZ,0.8697676,0.3570301,-0.35,,0.55
2025-03-07 14:34:23.294,421,RotationSliderBackgroundXYZ,0.8697636,0.3570306,-0.35,,0.55
2025-03-07 14:34:23.322,422,RotationSliderBackgroundXYZ,0.8697676,0.3570322,-0.35,,0.55
2025-03-07 14:34:23.363,423,RotationSliderBackgroundXYZ,0.8697715,0.3570333,-0.35,,0.55
2025-03-07 14:34:23.392,424,RotationSliderBackgroundXYZ,0.8697596,0.3570339,-0.35,,0.55
2025-03-07 14:34:23.419,425,RotationSliderBackgroundXYZ,0.8697636,0.3570361,-0.35,,0.55
2025-03-07 14:34:23.460,426,RotationSliderBackgroundXYZ,0.8697676,0.3570377,-0.35,,0.55
2025-03-07 14:34:23.488,427,RotationSliderBackgroundXYZ,0.8697596,0.3570382,-0.35,,0.55
2025-03-07 14:34:23.516,428,RotationSliderBackgroundXYZ,0.8697557,0.3570388,-0.35,,0.55
2025-03-07 14:34:23.544,429,RotationSliderBackgroundXYZ,0.8697477,0.3570388,-0.35,,0.55
2025-03-07 14:34:23.573,430,RotationSliderBackgroundXYZ,0.8697438,0.3570393,-0.35,,0.55
2025-03-07 14:34:23.601,431,RotationSliderBackgroundXYZ,0.8697278,0.3570388,-0.35,,0.55
2025-03-07 14:34:23.628,432,RotationSliderBackgroundXYZ,0.869708,0.3570388,-0.35,,0.55
2025-03-07 14:34:23.670,433,RotationSliderBackgroundXYZ,0.8696961,0.3570393,-0.35,,0.55
2025-03-07 14:34:23.698,434,RotationSliderBackgroundXYZ,0.8696881,0.3570404,-0.35,,0.55
2025-03-07 14:34:23.726,435,RotationSliderBackgroundXYZ,0.8696881,0.3570404,-0.35,,0.55
2025-03-07 14:34:23.768,436,RotationSliderBackgroundXYZ,0.8697,0.3570415,-0.35,,0.55
2025-03-07 14:34:23.809,437,RotationSliderBackgroundXYZ,0.869704,0.3570431,-0.35,,0.55
2025-03-07 14:34:23.850,438,RotationSliderBackgroundXYZ,0.8697,0.3570431,-0.35,,0.55
2025-03-07 14:34:23.891,439,RotationSliderBackgroundXYZ,0.8697,0.3570431,-0.35,,0.55
2025-03-07 14:34:23.920,440,RotationSliderBackgroundXYZ,0.8697,0.3570431,-0.35,,0.55
2025-03-07 14:34:23.947,441,RotationSliderBackgroundXYZ,0.8697,0.3570431,-0.35,,0.55
2025-03-07 14:34:23.975,442,RotationSliderBackgroundXYZ,0.8696881,0.357042,-0.35,,0.55
2025-03-07 14:34:24.004,443,RotationSliderBackgroundXYZ,0.8696762,0.3570415,-0.35,,0.55
2025-03-07 14:34:24.031,444,RotationSliderBackgroundXYZ,0.8696682,0.357042,-0.35,,0.55
2025-03-07 14:34:24.073,445,RotationSliderBackgroundXYZ,0.8696643,0.357042,-0.35,,0.55
2025-03-07 14:34:24.114,446,RotationSliderBackgroundXYZ,0.8696643,0.357042,-0.35,,0.55
2025-03-07 14:34:24.143,447,RotationSliderBackgroundXYZ,0.8696643,0.357042,-0.35,,0.55
2025-03-07 14:34:24.171,448,RotationSliderBackgroundXYZ,0.8696643,0.357042,-0.35,,0.55
2025-03-07 14:34:24.212,449,RotationSliderBackgroundXYZ,0.8696643,0.357042,-0.35,,0.55
2025-03-07 14:34:24.253,450,RotationSliderBackgroundXYZ,0.8696643,0.357042,-0.35,,0.55
2025-03-07 14:34:24.283,451,RotationSliderBackgroundXYZ,0.8696643,0.357042,-0.35,,0.55
2025-03-07 14:34:24.323,452,RotationSliderBackgroundXYZ,0.8696643,0.357042,-0.35,,0.55
2025-03-07 14:34:24.351,453,RotationSliderBackgroundXYZ,0.8696643,0.357042,-0.35,,0.55
2025-03-07 14:34:24.378,454,RotationSliderBackgroundXYZ,0.8696643,0.357042,-0.35,,0.55
2025-03-07 14:34:24.408,455,RotationSliderBackgroundXYZ,0.8696643,0.357042,-0.35,,0.55
2025-03-07 14:34:24.437,456,RotationSliderBackgroundXYZ,0.8696762,0.3570437,-0.35,,0.55
2025-03-07 14:34:24.464,457,RotationSliderBackgroundXYZ,0.8696802,0.3570448,-0.35,,0.55
2025-03-07 14:34:24.491,458,RotationSliderBackgroundXYZ,0.8696842,0.357047,-0.35,,0.55
2025-03-07 14:34:24.519,459,RotationSliderBackgroundXYZ,0.8696881,0.3570486,-0.35,,0.55
2025-03-07 14:34:24.548,460,RotationSliderBackgroundXYZ,0.8696842,0.3570486,-0.35,,0.55
2025-03-07 14:34:24.576,461,RotationSliderBackgroundXYZ,0.8696762,0.3570497,-0.35,,0.55
2025-03-07 14:34:24.604,462,RotationSliderBackgroundXYZ,0.8696722,0.3570497,-0.35,,0.55
2025-03-07 14:34:24.632,463,RotationSliderBackgroundXYZ,0.8696682,0.3570497,-0.35,,0.55
2025-03-07 14:34:24.659,464,RotationSliderBackgroundXYZ,0.8696802,0.3570513,-0.35,,0.55
2025-03-07 14:34:24.687,465,RotationSliderBackgroundXYZ,0.8696722,0.3570519,-0.35,,0.55
2025-03-07 14:34:24.715,466,RotationSliderBackgroundXYZ,0.8696762,0.357053,-0.35,,0.55
2025-03-07 14:34:24.743,467,RotationSliderBackgroundXYZ,0.8696682,0.3570541,-0.35,,0.55
2025-03-07 14:34:24.772,468,RotationSliderBackgroundXYZ,0.8696643,0.3570541,-0.35,,0.55
2025-03-07 14:34:24.800,469,RotationSliderBackgroundXYZ,0.8696643,0.3570541,-0.35,,0.55
2025-03-07 14:34:24.827,470,RotationSliderBackgroundXYZ,0.8696643,0.3570541,-0.35,,0.55
2025-03-07 14:34:24.855,471,RotationSliderBackgroundXYZ,0.8696643,0.3570541,-0.35,,0.55
2025-03-07 14:34:24.895,472,RotationSliderBackgroundXYZ,0.8696643,0.3570541,-0.35,,0.55
2025-03-07 14:34:24.924,473,RotationSliderBackgroundXYZ,0.8696643,0.3570541,-0.35,,0.55
2025-03-07 14:34:24.953,474,RotationSliderBackgroundXYZ,0.8696643,0.3570541,-0.35,,0.55
2025-03-07 14:34:24.980,475,RotationSliderBackgroundXYZ,0.8696643,0.3570541,-0.35,,0.55
2025-03-07 14:34:25.008,476,RotationSliderBackgroundXYZ,0.8696643,0.3570541,-0.35,,0.55
2025-03-07 14:34:25.036,477,RotationSliderBackgroundXYZ,0.8696643,0.3570541,-0.35,,0.55
2025-03-07 14:34:25.062,478,RotationSliderBackgroundXYZ,0.8696643,0.3570541,-0.35,,0.55
2025-03-07 14:34:25.090,479,RotationSliderBackgroundXYZ,0.8696563,0.357053,-0.35,,0.55
