Timestamp,Frame# (Framerate 30),Slider Name,Slider.x,Slider.y,Slider.z,Slider Value
2025-03-07 13:32:04.352,342,RotationSliderBackgroundXYZ,0.8699941,0.3569995,-0.35,,0.55
2025-03-07 13:32:04.387,343,RotationSliderBackgroundXYZ,0.8699861,0.3569995,-0.35,,0.55
2025-03-07 13:32:04.421,344,RotationSliderBackgroundXYZ,0.8699822,0.3570001,-0.35,,0.55
2025-03-07 13:32:04.456,345,RotationSliderBackgroundXYZ,0.8699822,0.3570001,-0.35,,0.55
2025-03-07 13:32:04.489,346,RotationSliderBackgroundXYZ,0.8699822,0.3570001,-0.35,,0.55
2025-03-07 13:32:04.519,347,RotationSliderBackgroundXYZ,0.8699822,0.3570001,-0.35,,0.55
2025-03-07 13:32:04.549,348,RotationSliderBackgroundXYZ,0.8699822,0.3570001,-0.35,,0.55
2025-03-07 13:32:04.579,349,RotationSliderBackgroundXYZ,0.8699822,0.3570001,-0.35,,0.55
2025-03-07 13:32:04.609,350,RotationSliderBackgroundXYZ,0.8699822,0.3570001,-0.35,,0.55
2025-03-07 13:32:04.639,351,RotationSliderBackgroundXYZ,0.8699822,0.3570001,-0.35,,0.55
2025-03-07 13:32:04.669,352,RotationSliderBackgroundXYZ,0.8699941,0.3570006,-0.35,,0.55
2025-03-07 13:32:04.696,353,RotationSliderBackgroundXYZ,0.8699861,0.3570023,-0.35,,0.55
2025-03-07 13:32:04.726,354,RotationSliderBackgroundXYZ,0.8699941,0.3570028,-0.35,,0.55
2025-03-07 13:32:04.751,355,RotationSliderBackgroundXYZ,0.8699861,0.3570034,-0.35,,0.55
2025-03-07 13:32:04.780,356,RotationSliderBackgroundXYZ,0.8699822,0.3570039,-0.35,,0.55
2025-03-07 13:32:04.819,357,RotationSliderBackgroundXYZ,0.8699861,0.3570055,-0.35,,0.55
2025-03-07 13:32:04.848,358,RotationSliderBackgroundXYZ,0.8699901,0.3570066,-0.35,,0.55
2025-03-07 13:32:04.875,359,RotationSliderBackgroundXYZ,0.8699782,0.3570083,-0.35,,0.55
2025-03-07 13:32:04.904,360,RotationSliderBackgroundXYZ,0.8699703,0.3570088,-0.35,,0.55
2025-03-07 13:32:04.934,361,RotationSliderBackgroundXYZ,0.8699623,0.3570094,-0.35,,0.55
2025-03-07 13:32:04.962,362,RotationSliderBackgroundXYZ,0.8699583,0.3570094,-0.35,,0.55
2025-03-07 13:32:04.991,363,RotationSliderBackgroundXYZ,0.8699583,0.3570094,-0.35,,0.55
2025-03-07 13:32:05.018,364,RotationSliderBackgroundXYZ,0.8699703,0.3570105,-0.35,,0.55
2025-03-07 13:32:05.046,365,RotationSliderBackgroundXYZ,0.8699583,0.3570094,-0.35,,0.55
2025-03-07 13:32:05.086,366,RotationSliderBackgroundXYZ,0.8699464,0.3570088,-0.35,,0.55
2025-03-07 13:32:05.114,367,RotationSliderBackgroundXYZ,0.8699504,0.3570105,-0.35,,0.55
2025-03-07 13:32:05.142,368,RotationSliderBackgroundXYZ,0.8699464,0.357011,-0.35,,0.55
2025-03-07 13:32:05.170,369,RotationSliderBackgroundXYZ,0.8699504,0.3570121,-0.35,,0.55
2025-03-07 13:32:05.197,370,RotationSliderBackgroundXYZ,0.8699543,0.3570143,-0.35,,0.55
2025-03-07 13:32:05.226,371,RotationSliderBackgroundXYZ,0.8699464,0.3570143,-0.35,,0.55
2025-03-07 13:32:05.256,372,RotationSliderBackgroundXYZ,0.8699305,0.3570143,-0.35,,0.55
2025-03-07 13:32:05.283,373,RotationSliderBackgroundXYZ,0.8699345,0.3570159,-0.35,,0.55
2025-03-07 13:32:05.311,374,RotationSliderBackgroundXYZ,0.8699265,0.3570164,-0.35,,0.55
2025-03-07 13:32:05.339,375,RotationSliderBackgroundXYZ,0.8699186,0.357017,-0.35,,0.55
2025-03-07 13:32:05.369,376,RotationSliderBackgroundXYZ,0.8699146,0.357017,-0.35,,0.55
2025-03-07 13:32:05.396,377,RotationSliderBackgroundXYZ,0.8699027,0.3570164,-0.35,,0.55
2025-03-07 13:32:05.424,378,RotationSliderBackgroundXYZ,0.8698947,0.357017,-0.35,,0.55
2025-03-07 13:32:05.451,379,RotationSliderBackgroundXYZ,0.8698907,0.357017,-0.35,,0.55
2025-03-07 13:32:05.479,380,RotationSliderBackgroundXYZ,0.8698788,0.3570164,-0.35,,0.55
2025-03-07 13:32:05.508,381,RotationSliderBackgroundXYZ,0.8698709,0.357017,-0.35,,0.55
2025-03-07 13:32:05.536,382,RotationSliderBackgroundXYZ,0.8698669,0.3570175,-0.35,,0.55
2025-03-07 13:32:05.565,383,RotationSliderBackgroundXYZ,0.869855,0.3570186,-0.35,,0.55
2025-03-07 13:32:05.593,384,RotationSliderBackgroundXYZ,0.869855,0.3570203,-0.35,,0.55
2025-03-07 13:32:05.620,385,RotationSliderBackgroundXYZ,0.869859,0.3570224,-0.35,,0.55
2025-03-07 13:32:05.648,386,RotationSliderBackgroundXYZ,0.8698511,0.3570224,-0.35,,0.55
2025-03-07 13:32:05.676,387,RotationSliderBackgroundXYZ,0.8698471,0.357023,-0.35,,0.55
